"date","n","total","ratio","mot","url","resolution","corpus","langue","bibli","search_mode"
"1823",8408,36767425,0.000228680686776406,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221823%22%20and%20gallicapublication_date%3C=%221823%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1824",6835,33927976,0.000201456167028649,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221824%22%20and%20gallicapublication_date%3C=%221824%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1825",6083,32558609,0.000186832306011599,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221825%22%20and%20gallicapublication_date%3C=%221825%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1826",9669,39697194,0.00024356885275065,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221826%22%20and%20gallicapublication_date%3C=%221826%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1827",8765,36653052,0.000239134247265412,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221827%22%20and%20gallicapublication_date%3C=%221827%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1828",12231,49787362,0.000245664753235972,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221828%22%20and%20gallicapublication_date%3C=%221828%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1829",15400,56643266,0.000271876978280172,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221829%22%20and%20gallicapublication_date%3C=%221829%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1830",24029,58950790,0.000407611161784261,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221830%22%20and%20gallicapublication_date%3C=%221830%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1831",31071,59070810,0.000525995834490842,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221831%22%20and%20gallicapublication_date%3C=%221831%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1832",25177,59023861,0.000426556304068282,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221832%22%20and%20gallicapublication_date%3C=%221832%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
